cal_pool_relative,cal_frac_total,method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds
0.05,0.0125,aps_global_safe,180,0.9941712572518718,0.009767900905723666,0.9745490135217316,0.0467144016516565,0.00512278582930757,0.0,0,4.142281297409871,1.2741457091194341,20,catboost+lgbm+rf,0+1+2
0.05,0.0125,rank_audit_consistency_floor3,180,0.9829639827224713,0.019206834424410162,0.9829639827224713,0.019206834424410162,1.9553715205889505e-05,0.0008727113833222712,6,3.2777777777777777,1.3246926725087544,20,catboost+lgbm+rf,0+1+2
0.05,0.0125,rank_global,180,0.955195596206802,0.043524923852457674,0.955195596206802,0.043524923852457674,,0.03001922464318154,58,2.2888888888888888,1.305291717598897,20,catboost+lgbm+rf,0+1+2
0.05,0.0125,rank_global_floor3_safe,180,0.9829639827224713,0.019206834424410162,0.9829639827224713,0.019206834424410162,1.9553715205889505e-05,0.0008727113833222712,6,3.2777777777777777,1.3246926725087544,20,catboost+lgbm+rf,0+1+2
0.05,0.0125,rank_global_floor3_ultrasafe,180,0.9829639827224713,0.019206834424410162,0.9829639827224713,0.019206834424410162,1.9553715205889505e-05,0.0008727113833222712,6,3.2777777777777777,1.3246926725087544,20,catboost+lgbm+rf,0+1+2
0.05,0.0125,rank_global_safe,180,0.9719143155092921,0.03521552375753989,0.9719143155092921,0.03521552375753989,0.0020091446210542905,0.014332138757612752,31,2.811111111111111,1.5988434677956203,20,catboost+lgbm+rf,0+1+2
0.05,0.0125,saps_global_safe_l0p1,180,0.9758703912629842,0.02479094235952391,0.9299513836079764,0.07763712841355909,0.02079022556407037,0.005174550173825094,22,2.746434450299179,1.3513341913859909,20,catboost+lgbm+rf,0+1+2
0.1,0.025,aps_global_safe,180,0.997596680897469,0.005598913356447799,0.9865670320764565,0.03526237840411143,0.002529697064010791,0.0,0,4.626767752337756,1.5000821604087198,20,catboost+lgbm+rf,0+1+2
0.1,0.025,rank_audit_consistency_floor3,180,0.9922045046013455,0.012886575594301711,0.9922045046013455,0.012886575594301711,0.0,0.00033138401559454166,2,3.938888888888889,1.7502238927452074,20,catboost+lgbm+rf,0+1+2
0.1,0.025,rank_global,180,0.9593470656085853,0.03979723390842673,0.9593470656085853,0.03979723390842673,,0.028919402005130806,55,2.272222222222222,1.263278326067677,20,catboost+lgbm+rf,0+1+2
0.1,0.025,rank_global_floor3_safe,180,0.9922045046013455,0.012886575594301711,0.9922045046013455,0.012886575594301711,0.0,0.00033138401559454166,2,3.938888888888889,1.7502238927452074,20,catboost+lgbm+rf,0+1+2
0.1,0.025,rank_global_floor3_ultrasafe,180,0.9922045046013455,0.012886575594301711,0.9922045046013455,0.012886575594301711,0.0,0.00033138401559454166,2,3.938888888888889,1.7502238927452074,20,catboost+lgbm+rf,0+1+2
0.1,0.025,rank_global_safe,180,0.9857584943045998,0.029199851120107638,0.9857584943045998,0.029199851120107638,0.0016085271317829465,0.00839489739457384,9,3.6333333333333333,2.0274650490550186,20,catboost+lgbm+rf,0+1+2
