method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds
aps_oracle_size_matched,180,0.9975123316116242,0.005520116544880036,0.9867091033110693,0.03709727690405718,0.0027976190476190483,2.9239766081871112e-05,1,4.394233639113421,1.560007789061058,20,catboost+lgbm+rf,0+1+2
aps_safe_generic_floor3,180,0.9977208008593187,0.0038952825753636035,0.983913754204782,0.07719906636249994,0.005516273849607184,0.0,0,4.471185471162475,1.134560227317297,20,catboost+lgbm+rf,0+1+2
rank_audit_consistency_floor3,180,0.9969836607222937,0.004495306816902524,0.9969836607222937,0.004495306816902524,0.0,0.0,0,4.261111111111111,1.8166329247033033,20,catboost+lgbm+rf,0+1+2
rank_oracle_size_matched,180,0.9966281524708042,0.005833557925791198,0.9966281524708042,0.005833557925791198,0.0,0.000161290322580645,1,4.133333333333334,1.9559392434383915,20,catboost+lgbm+rf,0+1+2
rank_safe_generic_floor3,180,0.9910919644044225,0.009068711206293862,0.9910919644044225,0.009068711206293862,0.0,0.0,0,3.5388888888888888,1.3427391702059872,20,catboost+lgbm+rf,0+1+2
raps_oracle_size_matched,180,0.9956165279669242,0.006263064428366991,0.9900797565216581,0.01807961721199741,0.00020061728395061781,0.0,0,3.9192084953981077,1.9237610914439285,20,catboost+lgbm+rf,0+1+2
raps_safe_generic_floor3,180,0.9870989521094384,0.009950321763577479,0.97474945839104,0.03614156028746198,0.0025992063492063498,0.0,0,3.2063640754142013,1.12647316373801,20,catboost+lgbm+rf,0+1+2
rc3p_like_rank_global,180,0.9574121907671015,0.03175058866923357,0.8689209148099615,0.1810218833313495,,0.021155451412635824,71,2.2149100473856107,1.1856375800833185,20,catboost+lgbm+rf,0+1+2
rc3p_like_rank_safe,180,0.9879889210065042,0.010266817367421762,0.8430464994213118,0.27114429273725194,0.11351999707705784,0.00022315841823990608,3,3.407736624775114,1.6507964050129094,20,catboost+lgbm+rf,0+1+2
saps_oracle_size_matched,180,0.995457338422901,0.006315298087818777,0.9720157799547264,0.06426012002040876,0.007876729751729754,0.0,0,3.86326961061577,1.864500080337904,20,catboost+lgbm+rf,0+1+2
saps_safe_l0p1_generic_floor3,180,0.9903427791728557,0.008889177812172171,0.9735972549604617,0.03780983473884774,0.0023189807212795734,0.0,0,3.4269732635117305,1.167330744924089,20,catboost+lgbm+rf,0+1+2
