method,runs,mean_delta_sscs_ours_minus_control,mean_delta_size_ours_minus_control,control_mean_size,ours_mean_size,control_violation_runs,ours_violation_runs,ours_sscs_win_rate,ours_size_smaller_rate
rc3p_like_rank_safe,180,0.15393716130098184,0.8533744863359968,3.407736624775114,4.261111111111111,3,0,0.7777777777777778,0.016666666666666666
rc3p_like_rank_global,180,0.12806274591233213,2.0462010637255004,2.2149100473856107,4.261111111111111,71,0,0.8166666666666667,0.0
saps_oracle_size_matched,180,0.024967880767567202,0.3978415004953413,3.86326961061577,4.261111111111111,0,0,0.5611111111111111,0.25555555555555554
saps_safe_l0p1_generic_floor3,180,0.02338640576183188,0.8341378475993805,3.4269732635117305,4.261111111111111,0,0,0.7166666666666667,0.3388888888888889
raps_safe_generic_floor3,180,0.022234202331253592,1.0547470356969098,3.2063640754142004,4.261111111111111,0,0,0.7333333333333333,0.19444444444444445
aps_safe_generic_floor3,180,0.01306990651751173,-0.21007436005136373,4.4711854711624754,4.261111111111111,0,0,0.3611111111111111,0.5111111111111111
aps_oracle_size_matched,180,0.01027455741122431,-0.13312252800230964,4.394233639113422,4.261111111111111,1,0,0.3,0.38333333333333336
raps_oracle_size_matched,180,0.006903904200635402,0.34190261571300307,3.9192084953981077,4.261111111111111,0,0,0.4666666666666667,0.17777777777777778
rank_safe_generic_floor3,180,0.005891696317871198,0.7222222222222222,3.5388888888888888,4.261111111111111,0,0,0.4666666666666667,0.0
rank_oracle_size_matched,180,0.0003555082514893405,0.12777777777777777,4.133333333333334,4.261111111111111,1,0,0.027777777777777776,0.0
