floor_k,method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds
1,rank_audit_consistency_floor1,180,0.9965458479440553,0.005824538662114048,0.9965458479440553,0.005824538662114048,0.0,0.000161290322580645,1,4.105555555555555,1.9845695879485563,20,catboost+lgbm+rf,0+1+2
1,rank_global_floor1_safe,180,0.9901771594825254,0.009695182904116192,0.9901771594825254,0.009695182904116192,0.0,0.000161290322580645,1,3.3222222222222224,1.5378122585413914,20,catboost+lgbm+rf,0+1+2
1,rank_global_floor1_ultrasafe,180,0.9967618270404889,0.005780800459004032,0.9967618270404889,0.005780800459004032,0.0,0.000161290322580645,1,4.144444444444445,1.975046063311841,20,catboost+lgbm+rf,0+1+2
2,rank_audit_consistency_floor2,180,0.9965833102628415,0.005835738179297738,0.9965833102628415,0.005835738179297738,0.0,0.000161290322580645,1,4.155555555555556,1.9138490341163166,20,catboost+lgbm+rf,0+1+2
2,rank_global_floor2_safe,180,0.9903586547231222,0.00978833037770013,0.9903586547231222,0.00978833037770013,0.0,0.000161290322580645,1,3.4,1.4400496577409323,20,catboost+lgbm+rf,0+1+2
2,rank_global_floor2_ultrasafe,180,0.9967787132275879,0.005785821153528168,0.9967787132275879,0.005785821153528168,0.0,0.000161290322580645,1,4.194444444444445,1.9058780648335445,20,catboost+lgbm+rf,0+1+2
3,rank_audit_consistency_floor3,180,0.9969836607222937,0.004495306816902524,0.9969836607222937,0.004495306816902524,0.0,0.0,0,4.261111111111111,1.8166329247033033,20,catboost+lgbm+rf,0+1+2
3,rank_global_floor3_safe,180,0.9910919644044225,0.009068711206293862,0.9910919644044225,0.009068711206293862,0.0,0.0,0,3.5388888888888888,1.3427391702059872,20,catboost+lgbm+rf,0+1+2
3,rank_global_floor3_ultrasafe,180,0.9971584875553527,0.0044079255595648615,0.9971584875553527,0.0044079255595648615,0.0,0.0,0,4.288888888888889,1.8170172897253267,20,catboost+lgbm+rf,0+1+2
4,rank_audit_consistency_floor4,180,0.9972240273515491,0.004036817295233059,0.9972240273515491,0.004036817295233059,0.0,0.0,0,4.411111111111111,1.7458294722694334,20,catboost+lgbm+rf,0+1+2
4,rank_global_floor4_safe,180,0.9935798057811526,0.007355866386527109,0.9935798057811526,0.007355866386527109,0.0,0.0,0,3.8333333333333335,1.3010524317519254,20,catboost+lgbm+rf,0+1+2
4,rank_global_floor4_ultrasafe,180,0.9973577019212337,0.004016966794878319,0.9973577019212337,0.004016966794878319,0.0,0.0,0,4.433333333333334,1.7468247330641646,20,catboost+lgbm+rf,0+1+2
5,rank_audit_consistency_floor5,180,0.9982728846308444,0.003453298617340606,0.9982728846308444,0.003453298617340606,0.0,0.0,0,4.788888888888889,1.723932392123683,20,catboost+lgbm+rf,0+1+2
5,rank_global_floor5_safe,180,0.9962997699079632,0.0069520226680313,0.9962997699079632,0.0069520226680313,0.0,0.0,0,4.461111111111111,1.462239381883732,20,catboost+lgbm+rf,0+1+2
5,rank_global_floor5_ultrasafe,180,0.9982728846308444,0.003453298617340606,0.9982728846308444,0.003453298617340606,0.0,0.0,0,4.788888888888889,1.723932392123683,20,catboost+lgbm+rf,0+1+2
