alpha,target_coverage,method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds
0.05,0.95,aps_global,300,0.99518156935462,0.006512647818532379,0.9511360226463107,0.14089981868047496,,7.801508602423867e-05,3,4.100274888680971,1.0642948289771716,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,aps_global_safe,300,0.9988733284494647,0.002783778879284174,0.9764164357527542,0.1290297150301232,0.017450708061002178,1.8518518518518335e-05,1,4.801807032277575,1.4476893104024078,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,lac_global,300,0.9619299264419535,0.023277265602561614,0.8664122525762038,0.17453241268016803,,0.027682382546399466,200,2.1219390553485606,1.1263329700776914,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,rank_audit_consistency_floor3,300,0.9983007356580894,0.0036136857388427606,0.9983007356580894,0.0036136857388427606,0.0,1.8518518518518335e-05,1,4.683333333333334,2.098667093049073,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,rank_global,300,0.9781856774712581,0.01552707838991404,0.9781856774712581,0.01552707838991404,,0.010095435966667347,125,2.736666666666667,1.313929319411914,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,rank_global_floor3_safe,300,0.9963163473682842,0.005124134857322947,0.9963163473682842,0.005124134857322947,0.0,1.8518518518518335e-05,1,4.153333333333333,1.728133010281995,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,rank_global_floor3_ultrasafe,300,0.9985273482437216,0.003532490469511569,0.9985273482437216,0.003532490469511569,0.0,1.8518518518518335e-05,1,4.76,2.0825119897112168,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,rank_global_safe,300,0.9960087049187977,0.005874464905617928,0.9960087049187977,0.005874464905617928,1.6835016835011391e-06,0.000345177769538169,3,4.013333333333334,1.8792536292098918,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,raps_global,300,0.9675180036880132,0.02166631858441713,0.9185575293589116,0.10634070136302742,,0.014835554220808235,182,2.4164608819174784,1.1610146697497101,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.05,0.95,saps_global_safe_l0p1,300,0.9920280831423711,0.008486969436164967,0.9434900307697746,0.1306180610681564,0.03337440585882774,0.0010025352253626243,14,3.5565062974366106,1.6541117968210377,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,aps_global,300,0.9897867762698307,0.011616690088517023,0.9346023169901517,0.1405051209748508,,0.00014797864225781865,3,3.644160211988373,0.9221189699877012,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,aps_global_safe,300,0.9974883874503553,0.0043749012442449945,0.9658260178672206,0.1337285940276711,0.018934102934102935,0.0,0,4.446733328274431,1.2222889924130307,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,lac_global,300,0.9286262111133097,0.041957121408829484,0.8669720438556509,0.1447488673115488,,0.04309208840965537,204,1.716937115656831,0.8536641745861806,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,rank_audit_consistency_floor3,300,0.9969713660780967,0.004608767917810646,0.9969713660780967,0.004608767917810646,0.0,0.0,0,4.3133333333333335,1.8329451296706898,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,rank_global,300,0.9555716799292001,0.03344486096712051,0.9555716799292001,0.03344486096712051,,0.022094901445589104,115,2.19,1.1305576213166033,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,rank_global_floor3_safe,300,0.9916899139250709,0.008951359582969578,0.9916899139250709,0.008951359582969578,0.0,0.0,0,3.6466666666666665,1.4006050611598946,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,rank_global_floor3_ultrasafe,300,0.9971059357684365,0.004561897962641176,0.9971059357684365,0.004561897962641176,0.0,0.0,0,4.34,1.833650524906979,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,rank_global_safe,300,0.9907705991972456,0.009920062780635872,0.9907705991972456,0.009920062780635872,0.0,9.6774193548387e-05,1,3.433333333333333,1.5981455250653838,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,raps_global,300,0.9406051715939572,0.04039700037023063,0.8761507020662761,0.12186372535301646,,0.01932056561714033,152,2.0093897980883617,0.885721127477567,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.1,0.9,saps_global_safe_l0p1,300,0.9838179122115593,0.012858287859101591,0.9156706518323595,0.14427451640593453,0.035262449808846366,0.00048438808112851063,7,3.030924043760824,1.4349416979797744,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,aps_global,300,0.975402488741387,0.026466119632879613,0.911506080030906,0.1568410002666023,,0.0005403908321528461,3,3.043301003785787,0.6725477629370157,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,aps_global_safe,300,0.9951753965151139,0.006508942083158518,0.9508582448685329,0.14088530656803164,0.017531746031746034,0.0,0,4.100187060831601,1.0642152845440347,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,lac_global,300,0.8761423071594281,0.08074563953609472,0.8247847815543945,0.1678016395408497,,0.05365756346083765,178,1.3723104846185985,0.5612374989691167,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,rank_audit_consistency_floor3,300,0.9935358710535178,0.0075546851187632364,0.9935358710535178,0.0075546851187632364,0.0,0.0,0,3.7933333333333334,1.48254804911973,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,rank_global,300,0.9116375467312035,0.05888234263930073,0.9116375467312035,0.05888234263930073,,0.026384979679189485,114,1.6866666666666668,0.823051396263843,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,rank_global_floor3_safe,300,0.981390032140986,0.01465270054838213,0.981390032140986,0.01465270054838213,0.0,0.0,0,3.1,1.1139132262368034,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,rank_global_floor3_ultrasafe,300,0.9936705511881979,0.007442424508736907,0.9936705511881979,0.007442424508736907,0.0,0.0,0,3.8033333333333332,1.4805276410371875,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,rank_global_safe,300,0.9781856774712581,0.01552707838991404,0.9781856774712581,0.01552707838991404,0.0,0.0,0,2.736666666666667,1.313929319411914,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,raps_global,300,0.9047146042793556,0.07359557863737265,0.8209991869186953,0.17694373997873156,,0.01537011586741173,78,1.677878211201987,0.5919548453617535,20,catboost+lgbm+logreg+rf+xgb,0+1+2
0.2,0.8,saps_global_safe_l0p1,300,0.9712749613994023,0.021854107685695935,0.8897330573736478,0.1321247688016108,0.023212968371522,0.0,0,2.599551445521657,1.2695869014317391,20,catboost+lgbm+logreg+rf+xgb,0+1+2
