benchmark,paper_baseline_group,method,runs,datasets,models,mean_coverage,mean_sscs,mean_worst_bin_violation,violation_runs,mean_size
Holdout20-CPU5,RankCover_Audit_Floor3,rank_audit_consistency_floor3,300,20,catboost+lgbm+logreg+rf+xgb,0.9969713660780968,0.9969713660780968,0.0,0,4.3133333333333335
Holdout20-CPU5,published_rank_ultrasafe,rank_global_ultrasafe,300,20,catboost+lgbm+logreg+rf+xgb,0.99679829331895,0.99679829331895,9.6774193548387e-05,1,4.2
Holdout20-CPU5,published_rank_plus_floor3_safe,rank_global_floor3_safe,300,20,catboost+lgbm+logreg+rf+xgb,0.9916899139250708,0.9916899139250708,0.0,0,3.6466666666666665
Holdout20-CPU5,published_rank_safe,rank_global_safe,300,20,catboost+lgbm+logreg+rf+xgb,0.9907705991972456,0.9907705991972456,9.6774193548387e-05,1,3.433333333333333
Holdout20-CPU5,APS_safe,aps_global_safe,300,20,catboost+lgbm+logreg+rf+xgb,0.9974883874503552,0.9658260178672206,0.0,0,4.446733328274431
Holdout20-CPU5,published_rank_plain,rank_global,300,20,catboost+lgbm+logreg+rf+xgb,0.9555716799292,0.9555716799292,0.0220949014455891,115,2.19
Holdout20-CPU5,SAPS_safe_l0p1,saps_global_safe_l0p1,300,20,catboost+lgbm+logreg+rf+xgb,0.9838179122115592,0.9156706518323596,0.0004843880811285,7,3.030924043760824
Holdout20-CPU5,RAPS,raps_global,300,20,catboost+lgbm+logreg+rf+xgb,0.9406051715939572,0.8761507020662761,0.0193205656171403,152,2.0093897980883617
Holdout20-CPU5,LAC,lac_global,300,20,catboost+lgbm+logreg+rf+xgb,0.9286262111133096,0.8669720438556509,0.0430920884096553,204,1.716937115656831
TabICL119,RankCover_Audit_Floor3,rank_audit_consistency_floor3,357,119,tabicl,0.9973890541497066,0.9973890541497066,0.0,0,3.6554621848739495
TabICL119,published_rank_ultrasafe,rank_global_ultrasafe,357,119,tabicl,0.9970148461685548,0.9970148461685548,0.0,0,3.4705882352941178
TabICL119,APS_safe,aps_global_safe,357,119,tabicl,0.9988664837284994,0.9946533155676164,0.0,0,4.207923568474293
TabICL119,published_rank_plus_floor3_safe,rank_global_floor3_safe,357,119,tabicl,0.9935179556255485,0.9935179556255485,0.0001637731741537,2,3.224089635854342
TabICL119,published_rank_safe,rank_global_safe,357,119,tabicl,0.991400760038844,0.991400760038844,0.0002037891805563,3,2.871148459383753
TabICL119,published_rank_plain,rank_global,357,119,tabicl,0.9583483640481254,0.9583483640481254,0.0344365454827754,164,1.9663865546218489
TabICL119,SAPS_safe_l0p1,saps_global_safe_l0p1,357,119,tabicl,0.9859237432976624,0.9202001313724056,0.0003495455499124,10,2.3664541276431104
TabICL119,RAPS,raps_global,357,119,tabicl,0.9523415592645564,0.8863739727774017,0.0260844772913241,142,1.8332541110951823
TabICL119,LAC,lac_global,357,119,tabicl,0.9307628970589602,0.8787028528057924,0.0599938492401011,254,1.5640098805826408
