method,model,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds,audit_pass_rate,audit_pass_rate_dataset_std
aps_global_safe,lgbm,400,0.997934607322951,0.0034925027542611416,0.9654745550254702,0.12542677498368424,0.018762896825396825,0.0,0,4.527280266244936,1.3140913037458364,20,lgbm,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.4625,0.34787891117758957
aps_global_safe,rf,400,0.9977912177712912,0.004100484440719731,0.9871834238038458,0.032807723340905,0.001822293128327612,0.0,0,4.533833834144795,1.0945118384364767,20,rf,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.405,0.3779793923650224
rank_audit_consistency_floor3,lgbm,400,0.9970686294268565,0.004196837499667049,0.9970686294268565,0.004196837499667049,0.0,0.0,0,4.17,1.7330923294955738,20,lgbm,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.4625,0.34787891117758957
rank_audit_consistency_floor3,rf,400,0.9969907965658845,0.0044184206069202425,0.9969907965658845,0.0044184206069202425,0.0,0.0,0,4.425,1.9231800627826585,20,rf,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.405,0.3779793923650224
rank_global_floor3_safe,lgbm,400,0.9916857900935251,0.008970907158784363,0.9916857900935251,0.008970907158784363,0.0,0.0,0,3.475,1.3542377559902004,20,lgbm,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.4625,0.34787891117758957
rank_global_floor3_safe,rf,400,0.989580483160128,0.009991438182514125,0.989580483160128,0.009991438182514125,0.0,0.0,0,3.6325,1.443139070200737,20,rf,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.405,0.3779793923650224
rank_global_floor3_ultrasafe,lgbm,400,0.9971423552079702,0.004158752232791983,0.9971423552079702,0.004158752232791983,0.0,0.0,0,4.1875,1.7377840728091827,20,lgbm,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.4625,0.34787891117758957
rank_global_floor3_ultrasafe,rf,400,0.9971816702263951,0.004024512123087938,0.9971816702263951,0.004024512123087938,0.0,0.0,0,4.4425,1.9250866595082254,20,rf,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.405,0.3779793923650224
rank_global_safe,lgbm,400,0.9904503134936867,0.009747509619932013,0.9904503134936867,0.009747509619932013,0.0,0.0,0,3.255,1.5478904716680382,20,lgbm,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.4625,0.34787891117758957
rank_global_safe,rf,400,0.9886326486856979,0.010353215646238909,0.9886326486856979,0.010353215646238909,0.0,4.4117647058823505e-05,1,3.4375,1.6256384903333008,20,rf,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19,0.405,0.3779793923650224
