method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,seeds
aps_safe,540,0.9928765432098765,0.0077189864082049045,0.9672991684292966,0.07890803950667837,0.008631887659665438,0.0,0,6.100968106995885,3.5969965096755963,108,0+1+2+3+4
fixed_top2,540,0.9187006172839507,0.09146631398196661,0.9187006172839507,0.09146631398196661,,0.0910369520648521,258,2.0,0.0,108,0+1+2+3+4
fixed_top3,540,0.9498487654320987,0.06973004139517718,0.9498487654320987,0.06973004139517718,,0.04919700214682564,172,3.0,0.0,108,0+1+2+3+4
rank_audit_consistency_floor3,540,0.9942006172839506,0.0038673301277953507,0.9942006172839506,0.0038673301277953507,0.0,0.0,0,6.377777777777778,4.9567579725079405,108,0+1+2+3+4
rank_floor2_safe,540,0.9842623456790124,0.008462071057773317,0.9842623456790124,0.008462071057773317,0.0,0.0,0,4.783333333333333,3.874096938281039,108,0+1+2+3+4
rank_floor3_safe,540,0.9877006172839506,0.010208060897149134,0.9877006172839506,0.010208060897149134,0.0,0.0,0,5.183333333333334,3.6080846141076415,108,0+1+2+3+4
rank_floor4_safe,540,0.9900802469135802,0.009625203804568005,0.9900802469135802,0.009625203804568005,0.0,0.0,0,5.544444444444444,3.4160847657483515,108,0+1+2+3+4
rank_floor5_safe,540,0.9917283950617284,0.01016558586008792,0.9917283950617284,0.01016558586008792,0.0,0.0,0,5.961111111111111,3.259404356539862,108,0+1+2+3+4
rank_global,540,0.9402469135802469,0.02847013201405332,0.9402469135802469,0.02847013201405332,,0.04795410126011384,382,2.45,1.966156134273515,108,0+1+2+3+4
rank_safe,540,0.9833549382716049,0.007917227060613477,0.9833549382716049,0.007917227060613477,0.0,0.0,0,4.688888888888889,3.952344442537259,108,0+1+2+3+4
