module,method,runs,tasks,models,coverage,sscs,dmax,dmean,violations,violation_rate,size,pass_rate,fallback_rate
External20,aps_global,300,20,5,0.9985047294999807,0.9841295909772801,0.0,0.0,0,0.0,2.9736967879050407,,
External20,lac_global,300,20,5,0.9202210336117148,0.799739146079492,0.07053788163218667,0.02512655641182311,255,0.85,1.6782636165350344,,
External20,raps_global,300,20,5,0.9517096434875576,0.8661916185219481,0.024182953597623014,0.008622643977932958,126,0.42,1.945453233342816,,
External20,aps_safe,300,20,5,0.9998209876543209,0.9962388694794158,0.0,0.0,0,0.0,3.251532626035639,,
External20,saps_l0.1,300,20,5,0.9541704463009886,0.831155338015808,0.05241712258701294,0.017815372993298936,136,0.4533333333333333,2.1132784739804524,,
External20,saps_safe_l0.1,300,20,5,0.9854883200909341,0.8771605846057315,0.0018120419920739173,0.000604013997357971,18,0.06,2.3743021322590363,,
External20,class_conditional_aps,300,20,5,0.9636568494180464,0.8472386947396476,0.008895087836567634,0.003637855443059371,72,0.24,2.20696670124821,,
External20,class_conditional_raps,300,20,5,0.9513553431800633,0.8307196308341946,0.020524018663095167,0.007835410429910402,123,0.41,1.9853057817178137,,
External20,rank_global,300,20,5,0.9662428254471686,0.9662428254471686,0.022936948617062202,0.007667115824518312,103,0.3433333333333333,2.0366666666666666,,
External20,rank_safe,300,20,5,0.9962578454061638,0.9962578454061638,0.0,0.0,0,0.0,2.6466666666666665,,
External20,rank_ultra,300,20,5,0.9990976037696992,0.9990976037696992,0.0,0.0,0,0.0,2.9033333333333333,,
External20,rank_safe_floor3,300,20,5,0.9965294503444354,0.9965294503444354,0.0,0.0,0,0.0,2.683333333333333,,
External20,rankcover_confcert_adaptive,300,20,5,0.9990837749947797,0.9990837749947797,0.0,0.0,0,0.0,3.006666666666667,0.3433333333333333,0.6566666666666666
External20,rankcover_empirical_zero_matched,300,20,5,0.9982764665936628,0.9982764665936628,0.000111111111111111,3.7037037037036996e-05,1,0.0033333333333333335,2.92,0.42,0.58
Hard20,aps_global,300,20,5,0.9897867762698307,0.9346023169901517,0.00023641011360309568,7.880337120103167e-05,3,0.01,3.644184903346398,,
Hard20,lac_global,300,20,5,0.9286447639890055,0.8669720438556509,0.04349826469954749,0.01602871781041214,205,0.6833333333333333,1.7172154087922669,,
Hard20,raps_global,300,20,5,0.9406051715939572,0.8761452196101357,0.018906976308879896,0.007369275899055117,139,0.4633333333333333,2.0094027179850027,,
Hard20,aps_safe,300,20,5,0.9974883874503553,0.9658260178672206,0.0,0.0,0,0.0,4.446525512278286,,
