module,selected_state,count,share
External20,All-label fallback,197,0.6566666666666666
External20,q=1,20,0.06666666666666667
External20,q=2,44,0.14666666666666667
External20,q=3,33,0.11
External20,q=4,6,0.02
Hard20,All-label fallback,189,0.63
Hard20,q=1,27,0.09
Hard20,q=2,10,0.03333333333333333
Hard20,q=3,5,0.016666666666666666
Hard20,q=4,34,0.11333333333333333
Hard20,q>=5,35,0.11666666666666667
TabICL119,All-label fallback,249,0.6974789915966386
TabICL119,q=1,25,0.0700280112044818
TabICL119,q=2,18,0.05042016806722689
TabICL119,q=3,16,0.04481792717086835
TabICL119,q=4,13,0.036414565826330535
TabICL119,q>=5,36,0.10084033613445378
