module,selected_candidate,selected_q,count,share
External20,all_labels,3.0,117,0.39
External20,all_labels,4.0,80,0.26666666666666666
External20,rank_1,1.0,20,0.06666666666666667
External20,rank_2,2.0,44,0.14666666666666667
External20,rank_3,3.0,33,0.11
External20,rank_4,4.0,6,0.02
Hard20,all_labels,3.0,5,0.016666666666666666
Hard20,all_labels,5.0,117,0.39
Hard20,all_labels,6.0,30,0.1
Hard20,all_labels,8.0,23,0.07666666666666666
Hard20,all_labels,9.0,11,0.03666666666666667
Hard20,all_labels,10.0,3,0.01
Hard20,rank_1,1.0,27,0.09
Hard20,rank_2,2.0,10,0.03333333333333333
Hard20,rank_3,3.0,5,0.016666666666666666
Hard20,rank_4,4.0,34,0.11333333333333333
Hard20,rank_5,5.0,4,0.013333333333333334
Hard20,rank_6,6.0,9,0.03
Hard20,rank_7,7.0,15,0.05
Hard20,rank_8,8.0,6,0.02
Hard20,rank_9,9.0,1,0.0033333333333333335
TabICL119,all_labels,2.0,47,0.13165266106442577
TabICL119,all_labels,3.0,34,0.09523809523809523
TabICL119,all_labels,4.0,15,0.04201680672268908
TabICL119,all_labels,5.0,91,0.2549019607843137
TabICL119,all_labels,6.0,27,0.07563025210084033
TabICL119,all_labels,8.0,19,0.05322128851540616
TabICL119,all_labels,9.0,11,0.03081232492997199
TabICL119,all_labels,10.0,5,0.014005602240896359
TabICL119,rank_1,1.0,25,0.0700280112044818
TabICL119,rank_2,2.0,18,0.05042016806722689
TabICL119,rank_3,3.0,16,0.04481792717086835
TabICL119,rank_4,4.0,13,0.036414565826330535
TabICL119,rank_5,5.0,17,0.047619047619047616
TabICL119,rank_6,6.0,6,0.01680672268907563
TabICL119,rank_7,7.0,7,0.0196078431372549
TabICL119,rank_8,8.0,6,0.01680672268907563
