family,setting,runs,tasks,coverage,sscs,violations,mean_dmax,mean_dmean,mean_size,pass_rate,fallback_rate
Calibration fraction,0.05,120,20,1.0,1.0,0,0.0,0.0,5.766666666666667,0.016666666666666666,0.9833333333333333
Calibration fraction,0.10,120,20,1.0,1.0,0,0.0,0.0,5.766666666666667,0.016666666666666666,0.9833333333333333
Calibration fraction,0.20,120,20,0.9995833333333334,0.9995833333333334,0,0.0,0.0,5.55,0.125,0.875
Calibration fraction,0.25,120,20,0.9983055848602067,0.9983055848602067,0,0.0,0.0,5.125,0.39166666666666666,0.6083333333333333
Calibration fraction,0.50,120,20,0.9926824639090126,0.9926824639090126,0,0.0,0.0,3.933333333333333,0.7583333333333333,0.24166666666666667
Audit allocation,0.20,120,20,1.0,1.0,0,0.0,0.0,5.75,0.025,0.975
Audit allocation,0.35,120,20,0.9983055848602067,0.9983055848602067,0,0.0,0.0,5.125,0.39166666666666666,0.6083333333333333
Audit allocation,0.50,120,20,0.9942005610245402,0.9942005610245402,0,0.0,0.0,4.241666666666666,0.625,0.375
Risk bins,2,120,20,0.9917362386145973,0.9917362386145973,0,0.0,0.0,3.7583333333333333,0.725,0.275
Risk bins,3,120,20,0.9983055848602066,0.9983055848602066,0,0.0,0.0,5.125,0.39166666666666666,0.6083333333333333
Risk bins,5,120,20,1.0,1.0,0,0.0,0.0,5.766666666666667,0.016666666666666666,0.9833333333333333
Risk definition,Equal entropy-margin (main),120,20,0.9983055848602066,0.9983055848602066,0,0.0,0.0,5.125,0.39166666666666666,0.6083333333333333
Risk definition,Entropy only,120,20,0.9986850329357332,0.9986850329357332,0,0.0,0.0,5.191666666666666,0.35833333333333334,0.6416666666666667
Risk definition,Weighted entropy-margin (0.65/0.35),120,20,0.9984226872567208,0.9984226872567208,0,0.0,0.0,5.125,0.4,0.6
Risk definition,Entropy-margin-instability,120,20,0.9985059444653283,0.9985059444653283,0,0.0,0.0,5.158333333333333,0.35833333333333334,0.6416666666666667
Evaluation alpha,0.05,120,20,1.0,1.0,0,0.0,0.0,5.766666666666667,0.016666666666666666,0.9833333333333333
Evaluation alpha,0.10,120,20,0.9983055848602067,0.9983055848602067,0,0.0,0.0,5.125,0.39166666666666666,0.6083333333333333
Evaluation alpha,0.20,120,20,0.9845833803562627,0.9845833803562627,0,0.0,0.0,3.1333333333333333,0.9,0.1
